2022-08-02 04:33:35 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-08-02 04:33:35 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-08-02 04:33:35 install libbrotli-dev:amd64 <none> 1.0.9-2+b2
2022-08-02 04:33:35 status half-installed libbrotli-dev:amd64 1.0.9-2+b2
2022-08-02 04:33:35 status unpacked libbrotli-dev:amd64 1.0.9-2+b2
2022-08-02 04:33:35 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-08-02 04:33:35 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-08-02 04:33:35 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-08-02 04:33:35 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-08-02 04:33:35 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-08-02 04:33:35 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-08-02 04:33:35 install libssh2-1:amd64 <none> 1.9.0-2
2022-08-02 04:33:35 status half-installed libssh2-1:amd64 1.9.0-2
2022-08-02 04:33:35 status unpacked libssh2-1:amd64 1.9.0-2
2022-08-02 04:33:35 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u2
2022-08-02 04:33:35 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u2
2022-08-02 04:33:35 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u2
2022-08-02 04:33:35 install libcurl4-openssl-dev:amd64 <none> 7.74.0-1.3+deb11u2
2022-08-02 04:33:35 status half-installed libcurl4-openssl-dev:amd64 7.74.0-1.3+deb11u2
2022-08-02 04:33:35 status unpacked libcurl4-openssl-dev:amd64 7.74.0-1.3+deb11u2
